,TCGA.AB.2856.03A,TCGA.AB.2849.03A,TCGA.AB.2971.03A,TCGA.AB.2930.03A,TCGA.AB.2891.03A,TCGA.AB.2872.03A,TCGA.AB.2851.03A,TCGA.AB.3011.03A,TCGA.AB.2949.03B
ENSG00000267182.1,0,0,0,0,1,0,0,0,0
ENSG00000267184.1,0,1,0,0,1,0,0,0,3
ENSG00000267185.1,11,80,18,13,4,13,3,4,23
ENSG00000267187.1,0,0,0,0,0,0,0,0,0
ENSG00000267188.1,0,0,0,0,0,0,0,0,0
ENSG00000267189.1,1,0,0,1,0,1,1,0,0
ENSG00000267190.1,0,3,0,0,0,0,0,0,0
ENSG00000267191.1,13,46,7,17,9,27,7,17,15
ENSG00000267192.1,2,8,6,17,4,11,4,9,11
ENSG00000267193.4,2,53,86,8,4,56,2,46,4
ENSG00000267194.1,127,185,116,181,83,18,123,188,178
ENSG00000267195.1,1,0,0,1,0,0,1,5,0
ENSG00000267196.1,0,0,0,0,0,0,0,0,0
ENSG00000267197.1,23,21,21,21,19,17,15,39,21
ENSG00000267198.1,20,71,47,34,69,85,30,64,51
ENSG00000267199.1,53,76,87,178,8,17,69,71,100
ENSG00000267200.1,0,0,1,0,0,1,1,0,0
ENSG00000267201.1,1,1,3,6,5,5,2,4,1
ENSG00000267202.4,0,0,0,0,0,0,1,0,0
ENSG00000267203.1,10,7,58,9,45,114,27,11,32
ENSG00000267204.1,0,5,0,0,1,1,0,0,2
ENSG00000267205.1,0,1,5,3,0,2,1,3,1
ENSG00000267206.4,2,1,0,19,15,0,5,1,82
ENSG00000267207.1,10,17,14,3,0,15,9,7,7
ENSG00000267209.4,0,2,0,0,0,0,1,0,0
ENSG00000267211.1,0,0,1,0,0,2,0,1,0
ENSG00000267212.1,10,24,12,39,10,11,52,25,17
ENSG00000267213.4,12,9,4,23,11,11,14,13,17
ENSG00000267214.1,7,48,8,84,52,44,21,37,38
ENSG00000267215.1,0,1,0,0,0,0,0,0,0
ENSG00000267216.1,39,348,107,101,83,210,80,236,188
ENSG00000267218.2,41,239,46,68,2,147,3,34,42
ENSG00000267219.1,3,0,11,5,3,9,7,14,10
ENSG00000267220.1,1,6,3,0,0,7,0,2,1
ENSG00000267221.1,111,127,27,124,60,24,57,74,104
ENSG00000267222.1,20,18,24,3,7,7,33,9,17
ENSG00000267223.1,0,0,0,0,0,0,0,0,0
ENSG00000267224.1,0,0,1,0,1,3,0,0,2
ENSG00000267225.1,1,0,0,0,1,2,1,0,1
ENSG00000267226.2,5,3,3,3,16,4,8,1,11
ENSG00000267227.1,1,0,0,0,0,0,0,0,0
ENSG00000267228.5,0,0,0,0,0,0,0,0,0
ENSG00000267230.1,21,64,9,38,11,32,9,22,22
ENSG00000267231.1,1,1,1,4,6,2,0,8,4
ENSG00000267232.1,0,0,0,0,0,0,0,0,0
ENSG00000267233.1,0,2,1,0,0,0,0,1,0
ENSG00000267234.1,7,14,46,7,12,19,26,59,18
ENSG00000267235.2,0,5,44,15,0,70,1,3,1
ENSG00000267238.1,0,0,0,0,0,1,0,0,0
ENSG00000267239.1,1,2,0,3,3,3,2,0,4
ENSG00000267240.1,0,2,0,25,1,13,0,0,0
ENSG00000267241.2,0,10,0,5,0,4,0,0,0
ENSG00000267243.4,6,3,2,2,3,0,6,1,12
ENSG00000267244.4,429,246,460,486,377,674,423,520,482
ENSG00000267245.1,1,1,0,1,0,3,2,0,0
ENSG00000267246.1,13,47,31,95,44,84,43,41,93
ENSG00000267247.1,2,0,1,1,0,0,36,0,0
ENSG00000267248.1,22,43,23,21,12,9,32,27,79
ENSG00000267249.1,37,80,13,31,23,17,25,19,40
ENSG00000267250.1,0,0,0,0,0,0,0,0,0
ENSG00000267251.2,1,120,8,1,17,43,0,12,9
ENSG00000267252.4,0,0,0,0,0,0,1,0,0
ENSG00000267253.1,1,32,7,6,5,0,2,8,15
ENSG00000267254.4,64,41,123,158,55,139,102,166,215
ENSG00000267255.1,21,37,41,41,53,36,13,57,50
ENSG00000267257.1,3,0,0,0,3,0,5,0,3
ENSG00000267258.1,1,2,2,4,5,4,4,1,5
ENSG00000267259.1,0,4,2,1,4,3,0,2,2
ENSG00000267260.1,11,61,7,17,12,18,6,17,8
ENSG00000267261.4,0,0,3,0,1,0,0,0,0
ENSG00000267262.1,25,9,338,30,10,71,55,229,93
ENSG00000267263.1,8,23,11,23,29,12,27,20,9
ENSG00000267264.1,16,57,17,70,29,55,20,22,31
ENSG00000267265.4,32,218,64,289,43,161,60,45,149
ENSG00000267268.1,2,6,1,11,15,11,0,5,2
ENSG00000267269.1,0,0,1,0,1,0,0,2,0
ENSG00000267270.4,146,103,18,36,18,140,27,37,55
ENSG00000267271.1,2,2,4,0,0,0,0,0,0
ENSG00000267272.4,43,64,38,49,67,33,20,42,77
ENSG00000267273.1,1,8,4,12,10,9,0,2,4
ENSG00000267274.1,51,209,89,153,67,235,69,143,124
ENSG00000267275.1,3,4,4,3,7,5,24,6,21
ENSG00000267277.1,31,9,18,73,12,24,38,31,41
ENSG00000267278.4,83,236,140,212,170,155,222,133,258
ENSG00000267279.1,1,3,0,0,0,0,1,0,1
ENSG00000267280.4,2,8,9,7,12,11,8,18,8
ENSG00000267281.2,371,101,209,322,270,273,325,218,202
ENSG00000267282.1,19,16,23,13,9,58,7,23,18
ENSG00000267283.1,24,10,18,41,15,23,21,24,20
ENSG00000267284.1,2,1,1,1,0,0,1,0,0
ENSG00000267285.1,11,17,19,14,5,28,10,16,11
ENSG00000267286.1,0,0,0,2,0,1,0,0,0
ENSG00000267287.1,8,11,17,1,13,18,14,10,17
ENSG00000267288.2,55,74,26,32,14,12,68,10,40
ENSG00000267289.1,13,16,20,7,16,22,13,28,19
ENSG00000267291.1,4,9,18,21,10,11,10,19,4
ENSG00000267292.1,0,1,0,0,1,0,1,2,0
ENSG00000267293.1,41,222,318,233,171,169,110,145,78
ENSG00000267295.1,0,3,1,0,0,0,0,0,0
ENSG00000267296.2,227,80,100,263,47,83,106,62,145
ENSG00000267298.1,4,32,29,51,14,52,28,18,29
ENSG00000267299.1,18,4,92,11,3,27,22,247,30
ENSG00000267301.1,10,17,5,1,5,4,3,4,16
ENSG00000267302.4,11,7,17,2,12,13,6,9,12
ENSG00000267303.1,1,0,3,3,1,0,1,2,1
ENSG00000267304.1,7,25,36,28,17,20,17,42,20
ENSG00000267305.2,1,4,3,0,0,4,0,3,0
ENSG00000267308.1,0,0,18,5,0,14,1,0,0
ENSG00000267309.1,31,97,18,22,20,15,20,15,38
ENSG00000267310.1,0,0,0,0,0,1,0,0,0
ENSG00000267311.1,2,32,9,2,15,1,20,0,30
ENSG00000267312.1,8,39,24,13,7,12,7,2,11
ENSG00000267313.5,0,1,0,0,0,0,1,0,0
ENSG00000267314.1,4,0,1,4,2,2,3,7,1
ENSG00000267315.1,0,2,0,1,2,2,0,0,1
ENSG00000267316.4,0,0,0,0,0,0,0,0,0
ENSG00000267317.2,193,72,94,148,153,117,133,89,71
ENSG00000267318.1,0,0,0,0,0,1,0,0,0
ENSG00000267319.1,0,4,1,6,5,3,1,0,1
ENSG00000267320.4,0,1,4,0,0,0,0,0,0
ENSG00000267321.1,228,184,123,328,172,85,129,123,441
ENSG00000267322.2,83,152,53,49,56,109,43,36,62
ENSG00000267323.1,17,13,9,34,12,23,11,16,9
ENSG00000267324.1,1,1,0,0,2,0,2,0,2
ENSG00000267325.1,3,1,2,1,0,0,1,0,14
ENSG00000267327.1,1,1,0,1,0,0,0,1,0
ENSG00000267328.1,0,0,0,0,0,0,0,0,0
ENSG00000267332.1,0,0,0,0,0,0,0,1,0
ENSG00000267333.1,0,0,1,0,0,1,0,2,0
ENSG00000267334.1,0,0,0,1,1,0,0,2,0
ENSG00000267335.2,0,0,0,0,0,0,0,0,0
ENSG00000267336.1,2,11,6,6,2,5,7,8,5
ENSG00000267337.1,0,2,0,10,0,0,1,0,45
ENSG00000267338.1,0,40,5,0,0,2,1,1,1
ENSG00000267339.4,0,1,0,112,5,82,0,0,0
ENSG00000267340.1,15,34,15,86,19,38,15,27,70
ENSG00000267341.1,0,0,2,0,29,0,1,0,1
ENSG00000267342.1,60,52,48,48,41,41,54,80,60
ENSG00000267343.1,0,14,0,0,0,0,0,1,3
ENSG00000267344.1,133,105,122,178,149,100,220,71,167
ENSG00000267345.1,1,10,0,5,4,13,2,6,0
ENSG00000267346.1,23,43,33,23,26,38,22,64,37
ENSG00000267348.2,112,75,103,256,123,108,197,107,90
ENSG00000267349.1,1,8,5,4,0,3,3,1,1
ENSG00000267352.1,0,0,0,0,0,0,0,0,0
ENSG00000267353.1,7,33,10,13,7,22,4,10,14
ENSG00000267354.1,0,0,3,0,0,3,0,0,0
ENSG00000267355.2,47,179,22,63,54,33,34,48,48
ENSG00000267356.1,0,0,0,0,0,0,0,0,0
ENSG00000267359.1,1,10,0,5,2,2,2,4,3
ENSG00000267360.5,8,17,9,12,4,14,9,16,8
ENSG00000267361.1,1,3,39,2,1,6,5,2,7
ENSG00000267363.1,1,1,0,1,0,0,0,0,0
ENSG00000267364.1,63,121,12,21,16,1,2,1,1
ENSG00000267365.1,5,9,13,0,1,9,20,0,1
ENSG00000267366.1,17,98,76,41,32,36,55,69,71
ENSG00000267368.1,1,5,23,6,20,3,95,54,12
ENSG00000267369.1,111,65,116,53,31,30,50,20,39
ENSG00000267370.1,63,177,97,174,79,112,74,62,81
ENSG00000267371.1,0,1,0,0,0,0,1,0,0
ENSG00000267372.2,2,1,18,14,1,13,0,4,4
ENSG00000267373.1,3,5,3,9,11,13,7,10,17
ENSG00000267374.1,73,5,91,4,0,106,3,26,189
ENSG00000267375.1,14,29,46,59,49,129,43,97,31
ENSG00000267376.1,1,3,6,0,3,0,2,0,0
ENSG00000267378.1,0,0,0,0,0,0,0,0,0
ENSG00000267379.1,0,0,0,0,0,0,0,0,0
ENSG00000267382.1,0,7,0,0,0,0,0,0,0
ENSG00000267383.5,43,350,137,101,187,131,45,199,144
ENSG00000267384.3,0,1,0,0,0,0,0,0,1
ENSG00000267385.1,8,4,27,21,2,17,7,6,9
ENSG00000267387.1,54,64,62,48,30,45,58,25,41
ENSG00000267388.1,0,13,0,1,0,0,0,1,1
ENSG00000267389.1,1,5,10,12,5,35,2,7,3
ENSG00000267390.1,24,24,13,46,15,19,29,31,31
ENSG00000267391.2,0,6,2,0,1,0,2,0,1
ENSG00000267392.3,0,0,0,0,1,1,1,0,0
ENSG00000267393.1,1,28,0,1,12,5,2,2,13
ENSG00000267394.1,36,15,42,29,35,21,53,30,18
ENSG00000267395.4,5,12,3,3,1,3,5,4,4
ENSG00000267396.1,0,0,0,0,0,0,0,0,0
ENSG00000267397.1,15,64,112,30,51,145,28,103,50
ENSG00000267398.1,0,2,0,0,0,0,0,0,4
ENSG00000267399.1,0,1,0,0,0,0,0,0,0
ENSG00000267400.1,0,0,0,0,0,0,0,0,3
ENSG00000267401.1,0,0,1,0,0,0,0,0,0
ENSG00000267402.1,1,7,6,2,1,2,1,6,14
ENSG00000267404.1,0,0,0,0,1,0,0,0,0
ENSG00000267405.1,0,0,1,0,0,0,1,1,0
ENSG00000267406.1,0,93,9,6,2,2,1,0,8
ENSG00000267407.1,0,1,0,0,1,0,0,0,0
ENSG00000267408.1,5,8,23,8,10,32,6,12,12
ENSG00000267409.1,1,1,1,1,1,0,0,3,3
ENSG00000267412.1,43,80,12,122,96,107,39,53,62
ENSG00000267413.1,1,1,0,0,0,1,0,0,0
ENSG00000267414.1,5,2,6,1,7,10,4,4,42
ENSG00000267415.1,0,0,0,0,0,0,0,0,0
ENSG00000267416.1,10,12,11,8,1,4,9,4,7
ENSG00000267417.1,7,7,3,12,1,10,13,13,6
ENSG00000267418.1,0,2,2,0,1,9,1,11,1
ENSG00000267419.1,121,169,101,210,79,190,107,151,197
ENSG00000267420.1,0,7,1,0,0,0,0,0,1
ENSG00000267421.5,2,2,0,8,2,1,2,4,3
ENSG00000267422.1,3,37,7,9,6,8,10,6,16
ENSG00000267423.1,0,0,1,0,0,0,0,0,0
ENSG00000267424.1,1,4,0,0,0,1,2,0,1
ENSG00000267425.1,0,0,0,0,0,0,0,0,0
ENSG00000267426.4,8,19,6,14,4,6,4,16,8
ENSG00000267428.1,0,0,0,0,0,0,0,0,0
ENSG00000267429.1,3,45,6,22,16,34,13,35,4
ENSG00000267430.1,21,27,73,11,32,12,45,46,46
ENSG00000267432.4,3,7,4,19,12,5,1,3,21
ENSG00000267433.1,0,0,0,0,1,0,1,0,0
ENSG00000267436.1,0,0,0,0,0,0,0,0,0
ENSG00000267437.1,1,4,0,2,0,2,5,0,1
ENSG00000267439.1,9,7,3,15,3,9,15,9,9
ENSG00000267440.1,1,1,0,0,1,1,2,0,3
ENSG00000267441.1,0,0,0,0,0,0,0,0,0
ENSG00000267443.2,0,3,0,0,2,0,0,0,1
ENSG00000267444.1,0,0,0,0,0,0,0,0,0
ENSG00000267446.1,1,1,1,0,0,0,0,0,1
ENSG00000267447.1,0,0,0,0,0,0,0,2,1
ENSG00000267448.4,0,0,0,0,0,0,0,0,0
ENSG00000267449.1,2,7,4,4,6,1,4,1,7
ENSG00000267450.1,0,0,1,0,0,0,0,1,0
ENSG00000267452.1,0,5,1,1,19,1,16,0,1
ENSG00000267453.5,11,0,1371,1257,1,1959,0,0,0
ENSG00000267454.4,27,54,26,92,21,75,23,24,96
ENSG00000267455.1,0,1,1,0,0,1,1,0,0
ENSG00000267456.2,0,0,0,0,0,0,1,0,0
ENSG00000267457.1,9,53,16,15,20,23,18,25,28
ENSG00000267458.1,0,0,0,0,0,0,0,0,0
ENSG00000267459.1,0,0,0,0,0,0,0,0,0
ENSG00000267461.1,0,3,70,0,0,1,0,0,1
ENSG00000267462.1,0,4,1,1,1,0,1,1,1
ENSG00000267463.1,0,2,8,1,1,5,1,5,1
ENSG00000267465.5,0,0,0,0,0,0,0,0,0
ENSG00000267466.1,3,1487,0,186,2,1,33,0,329
ENSG00000267467.3,0,0,1,0,1,2,0,1,2
ENSG00000267469.1,0,0,0,0,0,0,0,0,0
ENSG00000267470.4,62,328,87,50,168,104,202,310,119
ENSG00000267471.1,0,1,0,0,0,0,0,0,0
ENSG00000267472.1,4,3,3,7,4,6,5,4,1
ENSG00000267474.1,60,115,101,92,35,162,122,58,68
ENSG00000267475.1,56,16,18,32,39,42,20,9,16
ENSG00000267476.1,6,30,97,9,129,7,41,12,39
ENSG00000267477.1,0,0,0,0,0,0,0,0,0
ENSG00000267478.1,0,1,0,1,1,0,0,0,0
ENSG00000267480.1,87,52,47,113,56,17,50,53,59
ENSG00000267481.1,78,674,262,293,151,359,173,201,320
ENSG00000267482.1,0,0,0,0,0,0,0,0,0
ENSG00000267484.1,7,6,2,7,3,2,4,3,5
ENSG00000267486.1,0,3,2,0,0,0,1,0,1
ENSG00000267487.1,0,0,0,0,0,0,0,0,0
ENSG00000267489.2,0,0,0,0,0,0,0,1,0
ENSG00000267490.1,0,7,2,9,2,3,6,3,1
ENSG00000267491.1,63,176,144,134,81,356,187,311,84
ENSG00000267492.1,0,0,0,0,0,0,0,0,0
ENSG00000267493.3,93,77,77,148,70,105,126,115,225
ENSG00000267496.3,26,21,2,14,0,0,4,1,31
ENSG00000267497.1,3,19,2,9,4,3,5,2,6
ENSG00000267498.1,5,12,2,5,4,4,1,3,3
ENSG00000267500.1,4,133,13,13,5,5,2,18,32
ENSG00000267501.1,5,15,17,4,28,7,36,20,5
ENSG00000267503.1,19,165,79,22,47,59,59,70,72
ENSG00000267504.1,2,31,13,0,1,1,1,0,7
ENSG00000267505.1,1,3,2,0,0,2,0,0,4
ENSG00000267506.4,4,3371,1,375,0,4,62,2,622
ENSG00000267507.1,18,6,17,7,16,3,16,0,10
ENSG00000267508.4,109,246,115,8,0,182,111,195,222
ENSG00000267509.4,0,2,0,0,0,0,0,0,0
ENSG00000267510.1,11,31,17,14,4,15,13,7,11
ENSG00000267511.1,0,0,0,0,0,0,0,0,0
ENSG00000267512.1,3,0,2,2,1,0,0,3,3
ENSG00000267513.3,1,0,0,0,0,0,0,0,0
ENSG00000267515.1,6,2,7,2,2,1,3,6,8
ENSG00000267517.1,1,0,0,0,0,0,0,0,1
ENSG00000267518.1,0,2,0,7,2,0,1,2,3
ENSG00000267519.3,5853,283,3181,2476,624,494,1656,3048,1628
ENSG00000267520.2,0,0,0,0,0,0,0,0,0
ENSG00000267521.1,1,185,0,10,3,0,0,1,100
ENSG00000267522.1,4,4,13,12,7,60,11,13,9
ENSG00000267523.1,218,166,322,372,204,309,228,511,150
ENSG00000267524.1,1,4,2,3,1,2,0,1,3
ENSG00000267526.1,4,21,11,14,3,15,9,12,9
ENSG00000267528.1,0,0,0,14,0,14,0,0,0
ENSG00000267529.3,44,572,226,99,207,137,336,235,255
ENSG00000267530.2,7,1,0,5,0,2,3,7,14
ENSG00000267532.3,12,12,16,11,5,16,22,8,34
ENSG00000267533.1,16,8,12,15,25,11,13,7,15
ENSG00000267534.2,123,252,51,59,93,12,24,58,64
ENSG00000267535.1,0,3,0,4,7,1,1,2,9
ENSG00000267537.1,0,0,0,0,0,0,0,0,0
ENSG00000267541.1,40,62,44,42,28,56,24,20,37
ENSG00000267543.1,3,24,3,3,7,3,4,2,48
ENSG00000267544.1,14,7,9,17,9,16,14,30,18
ENSG00000267545.1,10,14,8,13,8,24,13,11,13
ENSG00000267546.2,10,36,8,20,8,12,3,3,20
ENSG00000267547.1,71,25,45,32,12,81,66,15,16
ENSG00000267549.4,11,20,18,49,18,45,16,19,12
ENSG00000267550.1,13,7,33,3,16,26,27,27,13
ENSG00000267551.3,641,1049,603,788,1803,1005,614,1306,1174
ENSG00000267552.5,3,3,1,0,1,1,0,3,1
ENSG00000267554.1,55,165,82,61,26,38,67,21,39
ENSG00000267555.1,0,2,0,0,1,2,1,0,0
ENSG00000267557.1,13,47,36,32,30,52,19,52,21
ENSG00000267558.1,1,3,0,0,2,3,0,3,1
ENSG00000267559.4,0,2,1,1,0,1,0,2,2
ENSG00000267560.1,8,75,130,31,68,63,57,88,106
ENSG00000267561.2,0,13,8,2,3,8,3,7,1
ENSG00000267563.1,7,4,14,9,6,14,5,25,8
ENSG00000267564.1,0,1,0,0,0,0,0,0,0
ENSG00000267565.1,21,171,49,100,64,90,50,82,54
ENSG00000267567.1,4,2,1,6,3,11,3,1,1
ENSG00000267568.5,0,279,1,23,5,0,0,0,115
ENSG00000267570.1,1,1,4,4,1,2,2,1,1
ENSG00000267571.1,42,45,45,72,24,54,44,39,52
ENSG00000267573.1,0,0,0,2,0,0,0,0,21
ENSG00000267574.1,0,0,1,0,0,0,0,0,0
ENSG00000267575.5,317,248,236,678,255,426,254,209,314
ENSG00000267576.1,0,0,0,0,0,0,0,0,0
ENSG00000267577.1,0,2,0,0,3,2,0,0,0
ENSG00000267579.1,0,0,0,0,0,0,0,0,1
ENSG00000267580.1,0,0,0,0,0,0,0,0,0
ENSG00000267581.1,3,12,2,2,2,10,1,4,2
ENSG00000267582.1,13,31,29,35,18,41,23,104,20
ENSG00000267583.4,0,6,2,4,6,9,1,11,7
ENSG00000267585.1,0,0,11,0,1,0,5,41,1
ENSG00000267586.5,25,20,74,67,9,50,26,9,29
ENSG00000267587.1,11,46,51,15,10,44,10,38,51
ENSG00000267589.1,11,6,119,19,7,35,17,78,30
ENSG00000267590.1,4,47,15,14,14,27,15,37,20
ENSG00000267591.1,0,0,0,0,0,0,0,0,0
ENSG00000267592.1,7,14,6,6,10,1,8,32,12
ENSG00000267593.1,0,0,1,0,1,0,0,0,0
ENSG00000267594.5,1,2,0,1,1,46,0,2,2
ENSG00000267595.1,25,128,14,90,28,64,22,57,63
ENSG00000267597.1,2,1,0,0,0,0,0,1,0
ENSG00000267598.1,0,0,0,0,0,0,0,0,0
ENSG00000267599.1,0,0,0,0,0,0,0,0,0
ENSG00000267601.1,0,0,0,0,0,0,0,0,0
ENSG00000267603.1,0,4,1,0,0,0,0,1,0
ENSG00000267604.1,0,2,0,0,0,0,1,0,0
ENSG00000267605.4,17,22,17,12,3,20,3,20,5
ENSG00000267606.1,1,73,9,12,8,26,6,53,8
ENSG00000267607.1,15,54,8,6,10,29,7,6,39
ENSG00000267609.2,0,1,1,0,0,0,0,1,0
ENSG00000267610.2,30,21,4,69,8,12,59,36,15
ENSG00000267611.1,0,0,0,0,0,0,0,0,0
ENSG00000267612.1,13,29,17,74,13,7,18,6,12
ENSG00000267614.1,0,0,0,0,1,1,0,0,0
ENSG00000267615.1,0,0,0,0,0,0,0,0,0
ENSG00000267617.1,0,0,0,0,0,1,0,0,0
ENSG00000267618.4,0,0,0,1,0,2,0,2,1
ENSG00000267620.1,0,4,2,1,2,2,1,1,1
ENSG00000267623.3,5,7,4,29,5,38,2,2,1
ENSG00000267624.1,0,0,1,3,1,0,3,4,1
ENSG00000267625.1,0,0,0,0,0,1,0,0,0
ENSG00000267626.1,0,1,2,0,0,0,0,0,0
ENSG00000267627.4,2,5,4,2,4,6,3,1,3
ENSG00000267628.1,0,0,0,0,0,0,0,0,0
ENSG00000267629.3,2,6,0,10,3,1,1,1,2
ENSG00000267630.1,0,3,3,6,0,17,0,0,0
ENSG00000267631.4,0,0,0,0,0,0,0,0,0
ENSG00000267632.1,64,76,138,48,57,45,235,96,99
ENSG00000267633.1,6,9,3,7,2,2,6,3,4
ENSG00000267634.1,0,1,0,0,2,0,0,0,2
ENSG00000267636.1,0,0,0,0,0,0,0,0,0
ENSG00000267637.1,27,50,43,10,10,32,30,13,15
ENSG00000267638.1,13,37,22,9,30,35,21,53,44
ENSG00000267640.4,2,4,11,0,1,5,7,6,14
ENSG00000267641.1,2,69,22,4,17,17,3,15,21
ENSG00000267642.1,0,2,0,0,0,1,0,0,1
ENSG00000267643.1,0,0,0,0,0,0,0,1,0
ENSG00000267644.1,0,2,4,2,3,2,5,8,2
ENSG00000267645.4,9,2,5,0,3,9,31,16,8
ENSG00000267646.1,2,24,16,14,9,29,3,15,5
ENSG00000267647.1,0,0,0,0,0,0,0,0,0
ENSG00000267648.1,37,7,16,21,12,38,40,2,10
ENSG00000267649.1,62,126,90,118,99,333,96,246,61
ENSG00000267650.1,1,3,0,0,0,0,0,3,0
ENSG00000267651.1,6,103,55,16,41,26,23,33,48
ENSG00000267652.1,2,3,2,1,5,0,0,0,3
ENSG00000267653.1,5,30,30,23,20,5,15,36,14
ENSG00000267654.1,0,2,1,1,0,0,0,2,1
ENSG00000267655.1,35,56,37,22,20,26,22,31,51
ENSG00000267656.1,3,5,2,6,5,5,2,9,3
ENSG00000267658.1,13,32,36,40,81,58,64,114,40
ENSG00000267659.4,1,3,38,1,2,2,1,5,3
ENSG00000267661.1,2,3,1,9,5,2,0,0,1
ENSG00000267662.1,0,2,2,0,1,16,3,0,1
ENSG00000267663.1,0,1,0,0,0,0,0,0,0
ENSG00000267664.1,1,2,0,1,1,0,0,2,2
ENSG00000267665.1,4,33,4,2,2,2,1,2,3
ENSG00000267666.1,7,9,2,10,8,11,3,13,5
ENSG00000267667.1,6,60,59,30,38,33,29,48,26
ENSG00000267669.1,11,26,10,18,16,78,6,6,36
ENSG00000267670.1,4,8,3,2,35,0,20,1,6
ENSG00000267672.1,27,111,53,26,19,41,19,59,28
ENSG00000267673.5,40,18,10,72,20,14,23,23,29
ENSG00000267674.1,1,0,0,0,0,0,1,1,0
ENSG00000267675.1,0,0,0,0,0,0,0,0,0
ENSG00000267676.1,5,8,6,3,3,8,2,6,4
ENSG00000267677.1,0,1,0,0,0,0,0,0,0
ENSG00000267678.1,0,1,0,0,0,1,0,0,2
ENSG00000267679.1,5,37,4,4,11,25,7,4,14
ENSG00000267680.4,418,1834,727,1140,538,873,539,796,936
ENSG00000267681.1,41,38,42,39,35,65,30,42,40
ENSG00000267682.1,26,144,76,60,52,109,46,103,43
ENSG00000267683.1,0,0,0,0,0,2,0,0,0
ENSG00000267684.1,0,0,0,0,0,0,1,0,0
ENSG00000267685.2,0,0,0,0,0,0,0,0,0
ENSG00000267686.1,1,0,0,1,0,0,0,0,1
ENSG00000267687.1,0,1,0,0,0,0,0,0,0
ENSG00000267688.1,0,0,0,0,0,0,0,0,0
ENSG00000267689.1,0,0,0,0,0,0,0,0,0
ENSG00000267690.1,12,217,46,15,82,74,22,13,119
ENSG00000267691.1,0,12,18,7,26,13,24,15,4
ENSG00000267692.1,10,17,13,5,11,24,3,18,15
ENSG00000267693.1,2,8,2,5,2,12,3,6,2
ENSG00000267694.1,12,217,23,29,82,77,69,31,144
ENSG00000267695.1,0,1,0,0,0,0,0,0,0
ENSG00000267696.5,0,2,0,0,0,0,0,0,0
ENSG00000267697.1,0,0,0,0,0,0,0,0,0
ENSG00000267698.1,33,21,35,75,26,19,29,62,24
ENSG00000267699.2,0,2,3,1,0,1,1,0,3
ENSG00000267701.2,54,357,124,106,50,64,20,217,148
ENSG00000267702.1,69,928,473,247,317,254,517,484,455
ENSG00000267703.1,20,13,16,18,16,20,12,34,7
ENSG00000267704.1,0,2,0,0,0,0,0,0,0
ENSG00000267705.1,0,0,0,0,0,0,0,0,0
ENSG00000267706.3,0,2,1,0,0,0,0,0,1
ENSG00000267707.2,5,12,3,3,9,1,0,8,4
ENSG00000267708.1,17,272,115,75,33,159,24,51,44
ENSG00000267709.1,0,4,2,1,0,1,1,8,0
ENSG00000267710.4,114,224,405,555,202,602,250,309,229
ENSG00000267711.1,20,13,9,5,2,16,23,5,6
ENSG00000267712.4,0,1,0,0,2,0,1,0,0
ENSG00000267713.1,0,0,0,0,0,0,0,0,0
ENSG00000267714.1,0,1,0,3,1,10,1,1,2
ENSG00000267716.1,0,1,0,0,0,0,0,0,0
ENSG00000267717.1,9,35,49,14,17,34,26,36,15
ENSG00000267719.1,9,137,37,19,6,2,13,11,47
ENSG00000267722.1,0,0,0,0,0,0,0,0,0
ENSG00000267723.1,0,80,8,29,5,1,4,3,19
ENSG00000267724.1,10,91,134,53,47,62,62,81,58
ENSG00000267725.1,0,1,0,0,0,0,0,0,0
ENSG00000267726.1,0,1,1,0,0,0,1,0,0
ENSG00000267727.1,0,0,0,0,0,0,0,0,0
ENSG00000267729.1,0,3,3,2,2,3,1,2,0
ENSG00000267731.1,13,542,98,124,34,90,26,66,75
ENSG00000267732.1,0,0,0,0,0,0,0,0,0
ENSG00000267733.4,8,20,0,4,3,0,4,0,0
ENSG00000267734.1,15,58,27,15,14,26,13,58,24
ENSG00000267735.1,7,44,3,2,2,3,5,2,6
ENSG00000267736.2,20,16,30,9,18,7,23,2,20
ENSG00000267737.1,11,9,13,7,8,10,7,5,4
ENSG00000267740.4,0,1,1,0,1,0,1,2,2
ENSG00000267741.1,15,33,36,55,39,39,42,28,21
ENSG00000267742.1,1,15,2,8,3,8,2,1,16
ENSG00000267743.4,0,5,8,0,1,0,0,0,1
ENSG00000267744.1,0,0,1,0,1,0,0,2,0
ENSG00000267745.1,86,133,106,95,34,180,154,38,34
ENSG00000267746.1,0,0,0,0,0,0,0,0,0
ENSG00000267747.1,1,9,4,4,2,1,1,2,3
ENSG00000267748.4,3,0,2,0,1,14,0,0,3
ENSG00000267749.1,48,126,14,209,172,152,54,85,99
ENSG00000267750.4,14,418,8,15,13,12,2,13,22
ENSG00000267751.4,99,76,152,240,84,314,85,276,44
ENSG00000267752.1,2,7,0,4,1,2,1,2,10
ENSG00000267755.1,0,0,0,0,0,0,0,0,0
ENSG00000267756.1,0,0,0,0,0,0,0,0,0
ENSG00000267757.3,0,0,1,0,3,1,3,2,0
ENSG00000267758.1,7,351,39,38,29,43,33,55,59
ENSG00000267760.1,0,0,0,0,0,0,0,0,0
ENSG00000267761.3,0,0,1,1,2,0,1,0,0
ENSG00000267762.1,3,1,13,8,3,13,14,8,13
